E-PRTR;;GNFR14;Stackheight;Heightclass
2;Production and processing of metals;B_Industry;;
6;Paper and wood producing plants;B_Industry;;
1.a;Mineral oil and gas refineries;B_Industry;4;150-<200m
1.b, 1.f;Installations for gasification and liquefaction, Installations for the manufacture of coal products and solid smokeless fuel;B_Industry;4;150-<200m
1.c;Thermal power stations and other combustion installations (>50 MW);A_PublicPower;5;>200m
1.d;Coke ovens;B_Industry;5;>200m
1.f;Installations for the manufacture of coal products and solid smokeless fuel;D_Fugitive;4;150-<200m
2.a;Metal ore roasting or sintering installations;B_Industry;;
2.b;Installations for the production of pig iron or steel inc. continuous casting;B_Industry;5;>200m
2.b, 2.c.i, 2.c.ii;"Installations for the production of pig iron or steel; and processing of ferrous metals (hot-rolling mills and smitheries with hammers)";B_Industry;5;>200m
2.c;Installations for the processing of ferrous metals;B_Industry;;
2.c.i;Installations for the processing of ferrous metals: (i) hot-rolling mills;B_Industry;5;>200m
2.d;Ferrous metal foundries;B_Industry;2;45<100m
2.e;Installations for non-ferrous metals;B_Industry;2;45<100m
2.e.i;Installations for the production of non-ferrous crude metals from ore, concentrates or secondary raw materials by metallurgical, chemical or electrolytic processes;B_Industry;2;45<100m
2.e.i, 2.e.ii;"Installations: (i) for the production of non-ferrous crude metals from ore, concentrates or secondary raw materials by metallurgical, chemical or electrolytic processes; (ii) for the smelting, including the alloying, of non-ferrous metals, including recovered products (refining, foundry casting, etc.)";B_Industry;2;45<100m
2.e.ii;Installations for the smelting, including the alloying, of non-ferrous metals, including recovered products (refining, foundry casting, etc.);B_Industry;2;45<100m
2.f;Installations for surface treatment of metals and plastic materials using an electrolytic or chemical process;B_Industry;1;<45m
2d;Ferrous metal foundries;B_Industry;2;45<100m
3.a;Underground mining and related operations;D_Fugitive;1;<45m
3.a, 3.b;"Underground mining and related operations; Opencast mining and quarring";B_Industry;1;<45m
3.b;Opencast mining and quarrying;B_Industry;;
3.c.i, 3.c.iii;Installations for the production of: (i) cement clinker in rotary kilns, (iii) cement clinker or lime in other furnaces;B_Industry;2;45<100m
3.c.ii, 3.c.iii;Installations for the production of: (ii) lime in rotary kilns, (iii) cement clinker or lime in other furnaces;B_Industry;2;45<100m
3.d;Installations for the production of asbestos and the manufacture of asbestos-based products;B_Industry;;
3.e;Installations for the manufacture of glass, incl. glass fibre;B_Industry;2;45<100m
3.f;Installations for melting mineral substances, incl. the production of mineral fibres;B_Industry;2;45<100m
3.g;Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain;B_Industry;2;45<100m
