LPS|GNFR|E-PRTR/PRTR Facility ID|Height class|Longitude (deg)|Latitude (deg)|NOx (as NO2) (kt)|NMVOC (kt)|SOx (as SO2) (kt)|NH3 (kt)|PM2.5 (kt)|PM10 (kt)|CO (kt)|Pb (t)|Cd (t)|Hg (t)|PCDD/ PCDF (dioxins/ furans)(g I-Teq)|PAHs (t)|HCB (kg)|PCBs (kg)
"""Randow, Welse"" GmbH & Co. Agrarproduktions KG"|K_AgriLivestock|12-20732150000|1|14,1482672405572|53,2045496721409||||0,0105||||||||||
1Heiz Energie GmbH Binnenhafen Eberswalde|A_PublicPower|12-20603020000|5|13,7784713333368|52,8512636662931|0,167|||||||||||||
3M Technical Ceramics Zweigniederlassung der 3M Deutschland GmbH|B_Industry|06-09-763-0005-0001|1|10,3290092134199|47,7055989655455||||||||||||||
A & L Möller GmbH|K_AgriLivestock|03-86-45404287880|1|7,68995879995552|52,9070304735483||||0,013||||||||||
A + J Agrar GmbH & Co. KG|K_AgriLivestock|10002|1|11,508174618792|51,2160458873275||||0,0132||||||||||
A. F. Broermann|K_AgriLivestock|18327|1|11,8380281765176|51,9990682443204||||0,0218||||||||||
A.V.E Eigenbetrieb Kreis Paderborn Deponie Alte Schanze|J_Waste|06-05-700-0148396|1|8,66556757513202|51,7041077540658||||||||||||||
ABS Agrar-Betriebs GmbH Schlettau & Co.Betriebs.KG|K_AgriLivestock|14-63-43363100000|1|12,9804469643484|50,5486460421271||||0,012||||||||||
ADM  Mainz GmbH|B_Industry|07-04-6036271|1|8,31727828789385|49,9738537563048||0,29||||||||||||
ADM Hamburg Aktiengesellschaft Werk Hamburg|B_Industry|06-02-B28903H003|1|9,95292127256902|53,5186944326294|0,108|0,865||||||||||||
ADM Spyck GmbH Werk Straubing|B_Industry|06-09-263-8003-0001|1|12,6596582600188|48,9019010569143||0,25||||||||||||
AFB Agrar GmbH Flämingland Blönsdorf|K_AgriLivestock|12-50720100000|1|12,8657396495509|51,9702805003965||||0,0101||||||||||
AG Deutschenbora e.G.|K_AgriLivestock|14-72-63233432533|1|13,3606273430436|51,0569364370646||||0,0132||||||||||
AG der Dillinger Hüttenwerke|B_Industry|06-10-0050559|5|6,75413698244508|49,3571721704399|0,331||0,151|||0,0566|92,7|||||||
AGR mbH|J_Waste|06-05-500-0414594|2|7,16342556252108|51,5565161479206|0,535|||||||||||||
AGRÖ Horka GmbH (619)|K_AgriLivestock|14-75-00147040000|1|14,9083748510439|51,3198106132532||||0,0104||||||||||
AHKW Geiselbullach|J_Waste|06-09-100-0607-0001|2|11,3595056542461|48,2353370647988|0,101|||||||||||||
AHKW Neunkirchen|J_Waste|06-10-0078532|2|7,1684029381679|49,3381416411041||||||||||||||
AHSK Abfallentsorgungsbetrieb d.HSK Zentrale Reststoffdeponie des HSK|J_Waste|06-05-900-0263770|1|8,35115582062667|51,2742483968671||||||||||||||
ALBA Electronics Recycling GmbH|J_Waste|06-08-3476243|3|8,92566411394518|49,1387067630663||||||||||||||
AMK Abfallentsorgungsgesellschaft des Märkischen Kreises mbH|J_Waste|06-05-900-0235202|2|7,69411350475717|51,3962947099394|0,134|||||||||||||
ARKEMA GmbH|B_Industry|06-09-774-0039-0001|1|10,2725499252647|48,4376123187585||||||||||||||
ASK Chemicals Metallurgy GmbH|B_Industry|06-09-171-0302-0G01|2|12,6289433901847|48,148064219406|||0,705|||||||||||
AUDI AG|E_Solvents|06-09-161-0102-0001|1|11,4197490470807|48,7842009411939||0,549||||||||||||
AUDI AG Automobilwerk/Fahrzeugbau|B_Industry|06-08-1950894|1|9,22471990745927|49,2020102585703||0,265||||||||||||
AVA Abfallverwertung Augsburg GmbH|J_Waste|06-09-700-0700-0001|2|10,9332194758323|48,4021358968054|0,104|||||||||||||
AVA Velsen|J_Waste|06-10-0075674|2|6,83473480185643|49,2142779753116||||||||||||||
AVEA Entsorgungsbetriebe GmbH & Co. KG|J_Waste|06-05-300-0535035|2|7,00420222599992|51,0423176878849|0,124|||||||||||||
AVG Abfall-Verwertungs-Gesellschaft mbH SAV und CPA|J_Waste|06-02-B71815A005|3|10,0717072012753|53,5315677782738||||||||||||||
AVG Abfallentsorgungs- und Verwertungsgesellschaft Köln mbH|J_Waste|06-05-300-1350016|2|6,95076623048607|51,0069738741238|0,132|||||||||||||
AVG-Deponie Vereinigte Ville AVG Köln mbH|J_Waste|06-05-800-6336072|1|6,83684995130551|50,8358605596308||||||||||||||
AWG Abfallwirtschaftsgesellschaft mbH Wuppertal|J_Waste|06-05-100-0113340|2|7,14281346815412|51,2253054844507|0,138|||||||||||||
AWS Abfall-Wirtschafts-Service GmbH|J_Waste|06-00003620433|1|8,54225529440848|49,9002357575931||||||||||||||
Abeler, Jürgen|K_AgriLivestock|06-05-566-0312375|1|7,45935753109179|52,0690666455081||||0,0258||||||||||
Abfallwirtschaft GmbH Halle-Lochau|J_Waste|10018|1|12,0498948025758|51,4221139305218||||||||||||||
Abfallwirtschaft Heidekreis Deponie Hillern|J_Waste|03-08-08083175080|1|9,86886847356095|53,0493206774461||||||||||||||
Abfallwirtschaftsbetrieb Landkreis Uelzen|J_Waste|03-08-08080282690|1|10,7689194212929|53,0111735622169||||||||||||||
Abwasserverband Fulda Verbandsklärwerk Gläserzell|J_Waste|06-84100020631|1|9,64012031258474|50,573852468213||||||||||||||
Abwasserverband Obere Lutter|J_Waste|06-05-700-0229838|1|8,39572803770728|51,9485025156213||||||||||||||
Agrar GmbH Holleben - Burgsdorf|K_AgriLivestock|10123|1|11,6559461042305|51,5776709808563||||0,013||||||||||
Agrar GmbH Kakerbeck|K_AgriLivestock|10324|1|11,2865930881557|52,6738888274076||||0,0109||||||||||
Agrar GmbH Wildau-Wentdorf|K_AgriLivestock|12-50720360000|1|13,5558869132361|51,8938364962527||||0,0104||||||||||
Agrar GmbH Wormsdorf|K_AgriLivestock|10449|1|11,1933871715227|52,1230550775698||||0,0157||||||||||
Agrar Handelsgesellschaft Salzfurtkapelle mbH & Co. KG, Hähnchenmast Mockrehna|K_AgriLivestock|14-82-56202720000|1|12,7913490246005|51,5134082887366||||0,035||||||||||
Agrar Handelsgesellschaft Salzfurtkapelle mbH & Co. KG;  Hähnchenmastanlage Liemehna|K_AgriLivestock|14-82-03417429000|1|12,541934284092|51,4476027408584||||0,0118||||||||||
