,substance_name,SUM(in kt/a)
0,Nitrogen oxides (NOx/NO2),289.625
1,Non-methane volatile organic compounds (NMVOC),39.148
2,Sulphur oxides (SOx/SO2),198.393
3,Ammonia (NH3),17.2532
4,,
5,Particulate matter (PM10),8.7974
6,Carbon monoxide (CO),817.935
7,Lead and compounds (as Pb),0.03495300000000001
8,Cadmium and compounds (as Cd),0.0012098699999999996
9,Mercury and compounds (as Hg),0.00631285
10,,
11,Polycyclic aromatic hydrocarbons (PAHs),0.0009069599999999998
12,Hexachlorobenzene (HCB),1.4e-05
13,,
